conf,wide,sum_sim,sum_obs,conf_,wide_,sum_obs/sum_sim
conf1,2.9mrs0,39.46848396588047,31.116283416748047,1.0,2.9,0.7883830411030559
conf1,5.7mrs0,157.87393586352192,113.44781494140625,1.0,5.7,0.7185974956593155
conf1,8.6mrs0,355.2163556929244,232.52505493164062,1.0,8.6,0.6546012062931378
conf1,11.4mrs0,631.4957434540878,366.8507080078125,1.0,11.4,0.5809234849331711
conf1,14.2mrs0,986.7120991470119,487.66888427734375,1.0,14.2,0.49423624651904174
conf1,17.1mrs0,1420.8654227716977,572.1980590820312,1.0,17.1,0.40271094637931176
conf1,19.9mrs0,1933.9557143281443,597.4835815429688,1.0,19.9,0.30894377628007597
conf1,22.8mrs0,2525.9829738163503,563.7967529296875,1.0,22.8,0.22319895215995147
conf1,25.7mrs0,3196.947201236318,479.49847412109375,1.0,25.7,0.14998636009242283
conf1,28.5mrs0,3946.848396587128,359.83319091796875,1.0,28.5,0.0911697523596598
conf1,31.4mrs0,4775.686559726243,235.71763610839844,1.0,31.4,0.04935785319250736
conf1,34.2mrs0,5683.461683974432,115.89923095703125,1.0,34.2,0.020392366026471244
conf1,37.1mrs0,6670.173637930244,12.757067680358887,1.0,37.1,0.0019125540612339152
conf1,39.9mrs0,7735.821070963587,0.0,1.0,39.9,0.0
conf1,42.8mrs0,8880.395521508684,0.0,1.0,42.8,0.0
conf2,2.9mrs0,85.23700344419751,65.52218627929688,2.0,2.9,0.7687058863137132
conf2,5.7mrs0,340.94801377679005,235.07571411132812,2.0,5.7,0.6894767079218892
conf2,8.6mrs0,767.133030997778,476.13092041015625,2.0,8.6,0.6206627809923301
conf2,11.4mrs0,1363.7920551071597,748.1923828125,2.0,11.4,0.5486117770012312
conf2,14.2mrs0,2130.925086104938,992.4208984375,2.0,14.2,0.46572303499017886
conf2,17.1mrs0,3068.532123991113,1147.42529296875,2.0,17.1,0.37393295771541124
conf2,19.9mrs0,4176.61316876568,1182.46142578125,2.0,19.9,0.2831149014766681
conf2,22.8mrs0,5455.168220428641,1097.94970703125,2.0,22.8,0.2012678001238573
conf2,25.7mrs0,6904.197278979996,909.1605224609375,2.0,25.7,0.13168229204992446
conf2,28.5mrs0,8523.70034441763,651.4132690429688,2.0,28.5,0.07642376464695812
conf2,31.4mrs0,10313.677416416405,383.6354675292969,2.0,31.4,0.037196768140009856
conf2,34.2mrs0,12274.128479870591,142.02969360351562,2.0,34.2,0.011571468706429337
conf2,37.1mrs0,14405.05323966976,0.0,2.0,37.1,0.0
conf2,39.9mrs0,16706.44868000326,0.0,2.0,39.9,0.0
conf2,42.8mrs0,19178.295998748166,0.0,2.0,42.8,0.0
conf3,2.9mrs0,223.61820483029405,174.99745178222656,3.0,2.9,0.7825724739854422
conf3,5.7mrs0,894.4728193211763,622.4656982421875,3.0,5.7,0.6959023066956719
conf3,8.6mrs0,2012.5638434726468,1265.673828125,3.0,8.6,0.6288862995476954
conf3,11.4mrs0,3577.891277284705,2001.070556640625,3.0,11.4,0.5592876925425347
conf3,14.2mrs0,5590.45512075735,2703.876708984375,3.0,14.2,0.483659496513063
conf3,17.1mrs0,8050.255373890591,3202.90869140625,3.0,17.1,0.39786423444332586
conf3,19.9mrs0,10957.292036684417,3383.63525390625,3.0,19.9,0.3088021422243766
conf3,22.8mrs0,14311.565109138815,3180.5712890625,3.0,22.8,0.22223783805668532
conf3,25.7mrs0,18113.074591253804,2655.711181640625,3.0,25.7,0.14661846437285578
conf3,28.5mrs0,22361.820483024392,1901.86279296875,3.0,28.5,0.08504955106014368
conf3,31.4mrs0,27057.802783668518,1058.2103271484375,3.0,31.4,0.039109248286307616
conf3,34.2mrs0,32201.02145632591,270.8438415527344,3.0,34.2,0.008411032610256745
conf3,37.1mrs0,37791.47577255412,0.0,3.0,37.1,0.0
conf3,39.9mrs0,43829.15821794533,0.0,3.0,39.9,0.0
conf3,42.8mrs0,50314.02157800548,0.0,3.0,42.8,0.0
conf4,2.9mrs0,535.0550692988506,448.1198425292969,4.0,2.9,0.8375209735261908
conf4,5.7mrs0,2140.2202771954035,1524.329833984375,4.0,5.7,0.7122303485423911
conf4,8.6mrs0,4815.4956236896605,2973.68701171875,4.0,8.6,0.6175246006018159
conf4,11.4mrs0,8560.881108781616,4742.0048828125,4.0,11.4,0.5539155167040256
conf4,14.2mrs0,13376.376732471273,6559.75927734375,4.0,14.2,0.4903988134110993
conf4,17.1mrs0,19261.982494758642,7761.6572265625,4.0,17.1,0.40295214828870896
conf4,19.9mrs0,26217.698395643718,8259.3447265625,4.0,19.9,0.31502935924897424
conf4,22.8mrs0,34243.52443512644,7883.83203125,4.0,22.8,0.23022840555404092
conf4,25.7mrs0,43339.4606132069,6637.5693359375,4.0,25.7,0.1531530213348992
conf4,28.5mrs0,53505.50692987381,4858.7490234375,4.0,28.5,0.09080839155127614
conf4,31.4mrs0,64741.663383349485,2793.45654296875,4.0,31.4,0.043147741299572204
conf4,34.2mrs0,77047.92988913273,737.9564208984375,4.0,34.2,0.00957788771171804
conf4,37.1mrs0,90424.3047659664,0.0,4.0,37.1,0.0
conf4,39.9mrs0,104870.77057430419,0.0,4.0,39.9,0.0
conf4,42.8mrs0,120387.21723461972,0.0,4.0,42.8,0.0
conf5,2.9mrs0,1518.0666550620472,1255.015380859375,5.0,2.9,0.8267195492862461
conf5,5.7mrs0,6072.266620248193,3922.28662109375,5.0,5.7,0.6459345194123629
conf5,8.6mrs0,13662.599895558438,6038.1142578125,5.0,8.6,0.4419447472640566
conf5,11.4mrs0,24289.06648099276,6545.6005859375,5.0,11.4,0.269487532221945
conf5,14.2mrs0,37951.666376551184,9355.359375,5.0,14.2,0.24650720951690022
conf5,17.1mrs0,54650.39958223373,13969.712890625,5.0,17.1,0.25561959285593966
conf5,19.9mrs0,74385.26609804042,16824.375,5.0,19.9,0.22617886420981986
conf5,22.8mrs0,97156.26592397095,16837.421875,5.0,22.8,0.1733024804409015
conf5,25.7mrs0,122963.39906002588,13997.322265625,5.0,25.7,0.11383324121344482
conf5,28.5mrs0,151806.6655061719,9718.6640625,5.0,28.5,0.06402000880590368
conf5,31.4mrs0,183686.0652572647,4335.255859375,5.0,31.4,0.023601441150711035
conf5,34.2mrs0,218601.59806952334,0.0,5.0,34.2,0.0
conf5,37.1mrs0,256553.2591051921,0.0,5.0,37.1,0.0
conf5,39.9mrs0,297540.99828943243,0.0,5.0,39.9,0.0
conf5,42.8mrs0,341564.5001071114,0.0,5.0,42.8,0.0
conf6,2.9mrs0,4815.495623689659,3065.91943359375,6.0,2.9,0.6366778568982742
conf6,5.7mrs0,19261.982494758613,4529.00341796875,6.0,5.7,0.23512654625250226
conf6,8.6mrs0,43339.46061320692,6135.10107421875,6.0,8.6,0.141559239257103
conf6,11.4mrs0,77047.92997903451,12120.4453125,6.0,11.4,0.15731046007073896
conf6,14.2mrs0,120387.39059224133,25153.345703125,6.0,14.2,0.20893671321709062
conf6,17.1mrs0,173357.84245282758,36405.28515625,6.0,17.1,0.210000797432376
conf6,19.9mrs0,235959.2855607934,41386.48046875,6.0,19.9,0.17539670189451834
conf6,22.8mrs0,308191.71991613746,40503.53515625,6.0,22.8,0.13142317764822325
conf6,25.7mrs0,390055.145518861,34983.7578125,6.0,25.7,0.08968926115809532
conf6,28.5mrs0,481549.5623688649,25563.171875,6.0,28.5,0.0530852353997546
conf6,31.4mrs0,582674.9704501516,14928.5390625,6.0,31.4,0.025620697334856862
conf6,34.2mrs0,693431.3690023862,2673.40087890625,6.0,34.2,0.0038553215190601656
conf6,37.1mrs0,813818.7428967308,0.0,6.0,37.1,0.0
conf6,39.9mrs0,943836.9351955049,0.0,6.0,39.9,0.0
conf6,42.8mrs0,1083484.9552653234,0.0,6.0,42.8,0.0
conf7,0.7mrs0,527.0656320944704,887.0269165039062,7.0,0.7,1.6829534359487832
conf7,1.3mrs0,2108.2625283778825,2031.9083251953125,7.0,1.3,0.9637833513830378
conf7,2.0mrs0,4743.590688850239,3373.39013671875,7.0,2.0,0.7111469681918107
conf7,2.6mrs0,8433.050113511525,4414.22412109375,7.0,2.6,0.5234433641063311
conf7,3.3mrs0,13176.640802361777,4799.4931640625,7.0,3.3,0.3642425437598815
conf7,3.9mrs0,18974.362755400965,4382.31494140625,7.0,3.9,0.23095979548292572
conf7,4.6mrs0,25826.215972629077,3157.66796875,7.0,4.6,0.1222659940618685
conf7,5.2mrs0,33732.200454046055,1576.329833984375,7.0,5.2,0.046730714651474804
conf7,5.9mrs0,42692.31619965208,0.0,7.0,5.9,0.0
conf7,6.5mrs0,52706.56320944715,0.0,7.0,6.5,0.0
conf7,7.2mrs0,63774.941483430965,0.0,7.0,7.2,0.0
conf7,7.8mrs0,75897.45102160356,0.0,7.0,7.8,0.0
conf7,8.5mrs0,89074.09182396563,0.0,7.0,8.5,0.0
conf7,9.1mrs0,103304.86389051612,0.0,7.0,9.1,0.0
conf7,9.8mrs0,118589.76722125593,0.0,7.0,9.8,0.0
conf8,0.4mrs0,855.6751983155206,3696.599365234375,8.0,0.4,4.320096425035444
conf8,0.8mrs0,3422.7007932620845,9654.7314453125,8.0,0.8,2.820793294090669
conf8,1.1mrs0,7701.0767848396845,14158.4951171875,8.0,1.1,1.8385084985855313
conf8,1.5mrs0,13690.803173048345,14347.4375,8.0,1.5,1.0479617096712268
conf8,1.9mrs0,21391.87995788799,14571.0986328125,8.0,1.9,0.6811509162119989
conf8,2.3mrs0,30804.30713935874,15330.615234375,8.0,2.3,0.49767765153811994
conf8,2.6mrs0,41928.08471746056,16667.267578125,8.0,2.6,0.39752036589413
conf8,3.0mrs0,54763.212692193236,16360.611328125,8.0,3.0,0.29875185409743654
conf8,3.4mrs0,69309.69106355717,13895.6767578125,8.0,3.4,0.2004867796203294
conf8,3.8mrs0,85567.51983155202,10663.7939453125,8.0,3.8,0.12462431967533025
conf8,4.1mrs0,103536.69899617795,7158.7216796875,8.0,4.1,0.06914187673640014
conf8,4.5mrs0,123217.22855743505,3764.9658203125,8.0,4.5,0.030555514552557415
conf8,4.9mrs0,144609.10851532305,756.3795166015625,8.0,4.9,0.005230510888056648
conf8,5.3mrs0,167712.33886984191,155.03038024902344,8.0,5.3,0.0009243826738910327
conf8,5.7mrs0,192526.91962099122,36.96065139770508,8.0,5.7,0.00019197653746533665
conf9,0.1mrs0,218.92171428807882,1909.9688720703125,9.0,0.1,8.72443776663007
conf9,0.2mrs0,875.6868571523147,4619.859375,9.0,0.2,5.27569797041779
conf9,0.3mrs0,1970.2954285927094,7610.2158203125,9.0,0.3,3.862474484726447
conf9,0.5mrs0,3502.7474286092593,11482.05078125,9.0,0.5,3.278012764342779
conf9,0.6mrs0,5473.0428572019655,15439.1767578125,9.0,0.6,2.820949362290507
conf9,0.7mrs0,7881.18171437083,18888.640625,9.0,0.7,2.3966761977531585
conf9,0.8mrs0,10727.164000115865,21942.173828125,9.0,0.8,2.0454776143897866
conf9,0.9mrs0,14010.989714437035,24661.203125,9.0,0.9,1.7601328405507928
conf9,1.0mrs0,17732.65885733439,25482.47265625,9.0,1.0,1.4370361975192578
conf9,1.1mrs0,21892.171428807877,24633.43359375,9.0,1.1,1.1252165493887418
conf9,1.2mrs0,26489.527428857495,23179.462890625,9.0,1.2,0.8750425221015254
conf9,1.4mrs0,31524.72685748332,20968.71875,9.0,1.4,0.6651514807660406
conf9,1.5mrs0,36997.76971468521,17490.6328125,9.0,1.5,0.4727483020566397
conf9,1.6mrs0,42908.6560004634,13702.0458984375,9.0,1.6,0.3193305774548036
conf9,1.7mrs0,49257.385714817625,9790.0654296875,9.0,1.7,0.19875324862688457
conf10,0.2mrs0,915.1901211635055,9968.423828125,10.0,0.2,10.892189062805745
conf10,0.3mrs0,3660.7604846540225,33399.8046875,10.0,0.3,9.123733942035436
conf10,0.5mrs0,8236.711090471554,100045.8203125,10.0,0.5,12.146331128238268
conf10,0.7mrs0,14643.04193861608,199599.921875,10.0,0.7,13.63104215037605
conf10,0.9mrs0,22879.75302908763,341882.09375,10.0,0.9,14.942560495096092
conf10,1.0mrs0,32946.844361886186,434502.71875,10.0,1.0,13.187991966011916
conf10,1.2mrs0,44844.31593701172,424113.21875,10.0,1.2,9.457457648494605
conf10,1.4mrs0,58572.16775446427,403941.0625,10.0,1.4,6.896467690820821
conf10,1.5mrs0,74130.3998142437,423130.09375,10.0,1.5,5.707915980627129
conf10,1.7mrs0,91519.0121163503,454367.28125,10.0,1.7,4.964731051427347
conf10,1.9mrs0,110738.00466078403,474179.71875,10.0,1.9,4.281996232481536
conf10,2.0mrs0,131787.3774475448,487609.75,10.0,2.0,3.6999730888042204
conf10,2.2mrs0,154667.130476632,499454.28125,10.0,2.2,3.229220583008491
conf10,2.4mrs0,179377.2637480463,499093.53125,10.0,2.4,2.7823678476388616
conf10,2.6mrs0,205917.7772617881,428596.3125,10.0,2.6,2.081395390914284
